Hero,win,kills,deaths,assists,damage,heal,lasthit,denies,level,tower,version
Dazzle,1,4,5,25,6689,9251,42,1,14,1168,7
Undying,1,8,3,14,9741,104,27,5,14,870,7
Invoker,1,8,4,20,19404,0,95,7,17,3858,7
Anti-Mage,1,10,1,3,10322,0,162,7,17,4198,7
Pudge,1,4,5,23,12360,0,3,0,13,75,7
Tusk,0,3,10,8,3829,0,10,0,8,70,7
Sven,0,3,8,7,7986,0,82,1,13,144,7
Magnus,0,3,4,8,8851,0,53,1,14,0,7
Ogre Magi,0,1,8,10,4196,0,2,1,8,69,7
Axe,0,5,5,1,11217,0,59,0,18,154,7
Centaur Warrunner,1,9,12,25,25839,0,130,3,22,4880,7
Elder Titan,1,5,3,32,16824,3336,85,1,23,2427,7
Storm Spirit,1,8,7,20,16690,0,126,1,22,1563,7
Riki,1,15,5,17,22114,0,84,5,23,3106,7
Monkey King,1,17,4,14,33725,0,137,1,24,5912,7
Silencer,0,5,11,14,11842,0,35,2,16,139,7
Pudge,0,2,12,15,9194,0,45,0,17,0,7
Queen of Pain,0,13,15,8,30294,0,129,7,20,1599,7
Luna,0,5,11,10,19568,0,194,5,19,108,7
Doom,0,5,6,13,11256,0,84,7,20,85,7
Nature's Prophet,1,6,4,13,21559,0,295,0,23,9725,7
Mirana,1,7,2,10,16670,0,151,7,23,2595,7
Skywrath Mage,1,4,6,15,11410,0,8,0,19,626,7
Terrorblade,1,4,4,10,10855,0,139,11,19,6921,7
Phantom Assassin,1,11,6,9,23304,1014,111,3,22,1692,7
Timbersaw,0,2,5,5,12015,1220,285,1,21,231,7
Invoker,0,6,5,6,13618,0,140,11,20,1243,7
Lion,0,2,6,5,4810,0,26,1,14,117,7
Necrophos,0,9,8,6,16336,1147,161,10,21,696,7
Monkey King,0,3,10,4,9409,0,86,8,18,429,7
Enigma,0,8,11,19,24140,0,107,1,24,746,7
Dark Seer,0,5,18,11,22822,0,68,2,15,391,7
Wraith King,0,6,8,12,9460,1041,226,6,23,489,7
Spirit Breaker,0,4,12,16,24487,180,75,2,21,58,7
